Load Image	C:\ST\e.exe
CreateFile	C:\Windows\Prefetch\E.EXE-9F49FA3F.pf
CreateFile	C:\ST\e.exe
QuerySecurityFile	C:\ST\e.exe
QueryBasicInformationFile	C:\ST\e.exe
QuerySecurityFile	C:\ST\e.exe
QueryBasicInformationFile	C:\ST\e.exe
CloseFile	C:\ST\e.exe
CreateFile	C:\ST\e.exe
QueryBasicInformationFile	C:\ST\e.exe
CloseFile	C:\ST\e.exe
QueryDirectory	C:\ST\e.exe
RegQueryValue	HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\ST\e.exe
CreateFile	C:\ST\e.exe
QueryBasicInformationFile	C:\ST\e.exe
CloseFile	C:\ST\e.exe
QueryDirectory	C:\ST\e.exe
RegQueryValue	HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\ST\e.exe
ReadFile	C:\Windows\System32\msvcrt.dll
QueryNameInformationFile	C:\ST\e.exe
ReadFile	C:\Windows\System32\msvcrt.dll
ReadFile	C:\Windows\System32\msvcrt.dll
CreateFile	C:\Windows\System32\cmd.exe
QueryBasicInformationFile	C:\Windows\System32\cmd.exe
CloseFile	C:\Windows\System32\cmd.exe
CreateFile	C:\Windows\System32\cmd.exe
CreateFileMapping	C:\Windows\System32\cmd.exe
CreateFileMapping	C:\Windows\System32\cmd.exe
RegOpenKey	HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\cmd.exe
QuerySecurityFile	C:\Windows\System32\cmd.exe
ReadFile	C:\Windows\System32\cmd.exe
ReadFile	C:\Windows\System32\cmd.exe
QueryNameInformationFile	C:\Windows\System32\cmd.exe
Process Create	C:\Windows\system32\cmd.exe
RegOpenKey	HKLM\System\CurrentControlSet\Control\Session Manager\AppCertDlls
RegOpenKey	HKLM\System\CurrentControlSet\Control\Session Manager\AppCertDlls
RegOpenKey	HKLM\System\CurrentControlSet\Control\SafeBoot\Option
RegOpenKey	HKLM\System\CurrentControlSet\Control\SafeBoot\Option
RegOpenKey	HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers
RegQueryValue	HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled
RegQueryValue	HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\AuthenticodeEnabled
RegCloseKey	HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers
RegOpenKey	HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers
RegOpenKey	HKLM\System\CurrentControlSet\Control\SafeBoot\Option
RegOpenKey	HKLM\System\CurrentControlSet\Control\SafeBoot\Option
RegOpenKey	HKLM\System\CurrentControlSet\Control\Session Manager\AppCompatibility
RegOpenKey	HKLM\System\CurrentControlSet\Control\Session Manager\AppCompatibility
RegOpenKey	HKLM\Software\Policies\Microsoft\Windows\AppCompat
QuerySecurityFile	C:\Windows\System32\cmd.exe
